DATAFLOW,LAST UPDATE,freq,age,statinfo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2014,27.6,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2015,27.2,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2016,27.2,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2017,27.9,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2018,26.8,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2019,27.5,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2020,27.0,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2021,26.7,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2022,27.8,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Austria,2023,28.1,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2014,25.9,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2015,26.2,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2016,26.3,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2017,26.1,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2018,25.7,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2019,25.1,b,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2020,25.4,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2021,24.1,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2022,24.9,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2023,24.2,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Belgium,2024,24.7,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Bulgaria,2014,35.4,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Bulgaria,2015,37.0,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Bulgaria,2016,37.7,b,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Bulgaria,2017,40.2,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Bulgaria,2018,39.6,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Bulgaria,2019,40.8,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Bulgaria,2020,40.0,,
ESTAT:TESSI190(1.0),14/02/25 11:00:00,Annual,Total,Gini coefficient (scale from 0 to 100),Bulgaria,2021,39.7,,
