Общ държавен дефицит (-) и излишък (+) - годишни данни
Net lending (+)/net borrowing (-)
Държавно управление
Процент от брутния вътрешен продукт (БВП)
Географска единица	Период от време
2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Австрия	-2.2	-2.0	-1.9	-0.5	-1.5	-0.8	0.2	0.5	-8.2	-5.7	-3.3	-2.6
Белгия	-4.3	-3.2	-3.2	-2.5	-2.4	-0.8	-1.0	-2.0	-9.0	-5.4	-3.6	-4.2
България	-0.8	-0.7	-5.4	-1.9	0.3	1.6	1.7	2.2	-3.8	-3.9	-2.9	-2.0
Кипър	-15.2	-5.6	-8.8	-0.8	0.5	2.1	-3.4	1.0	-5.6	-1.6	2.6	2.0
Чехия	-3.9	-1.3	-2.1	-0.7	0.7	1.5	0.9	0.3	-5.6	-5.0	-3.1	-3.8
Германия	-0.1	0.1	0.7	0.9	1.1	1.3	1.9	1.3	-4.4	-3.2	-2.1	-2.6
Дания	-3.2	-0.9	1.4	-0.9	0.3	1.7	0.8	4.3	0.4	4.1	3.4	3.3
Еврозона - 19 държави (2015-2022)	-3.9	-3.2	-2.5	-2.0	-1.5	-1.0	-0.4	-0.5	-7.0	-5.1	-3.5	-3.6
Евро зона – 20 държави (от 2023)	-3.9	-3.2	-2.5	-2.0	-1.5	-1.0	-0.4	-0.5	-7.0	-5.1	-3.5	-3.6
Естония	-0.4	-0.2	0.9	0.2	-0.1	-0.5	-0.6	-0.1	-5.4	-2.6	-1.1	-2.8
Гърция	-9.3	-13.6	-3.8	-5.9	0.2	0.7	0.9	0.8	-9.6	-6.9	-2.5	-1.3
Испания	-11.5	-7.5	-6.0	-5.3	-4.2	-3.1	-2.6	-3.1	-9.9	-6.7	-4.6	-3.5
Европейски съюз - 27 страни (от 2020)	-3.7	-3.1	-2.4	-1.9	-1.4	-0.9	-0.4	-0.5	-6.7	-4.6	-3.2	-3.5
Финландия	-2.2	-2.5	-3.0	-2.4	-1.7	-0.6	-0.9	-0.9	-5.5	-2.7	-0.2	-3.0
Франция	-5.2	-4.9	-4.6	-3.9	-3.8	-3.4	-2.3	-2.4	-8.9	-6.6	-4.7	-5.5
Хърватия	-5.5	-5.5	-5.1	-3.5	-1.0	0.5	0.0	0.2	-7.2	-2.6	0.1	-0.9
Унгария	-2.3	-2.6	-2.8	-2.0	-1.8	-2.5	-2.0	-2.0	-7.5	-7.1	-6.2	-6.7
Ирландия	-8.4	-6.3	-3.5	-2.0	-0.8	-0.3	0.1	0.4	-4.9	-1.4	1.7	1.5
Италия	-3.0	-2.9	-2.8	-2.5	-2.4	-2.5	-2.2	-1.5	-9.4	-8.9	-8.1	-7.2
Литва	-3.1	-2.7	-1.8	-0.8	0.0	0.4	0.6	0.5	-6.3	-1.1	-0.7	-0.7
Люксембург	0.5	0.8	1.3	1.3	1.9	1.4	3.2	2.7	-3.1	1.0	0.2	-0.7
Латвия	-1.5	-1.3	-1.7	-1.5	0.0	-0.3	-1.4	-0.2	-4.1	-7.2	-4.9	-2.4
Малта	-3.3	-2.2	-1.5	-0.8	1.1	3.4	1.9	0.7	-8.7	-7.0	-5.2	-4.5
Нидерландия	-3.8	-2.9	-2.2	-1.8	0.2	1.3	1.5	1.8	-3.6	-2.2	0.0	-0.4
Полша	-3.8	-4.2	-3.7	-2.6	-2.4	-1.5	-0.2	-0.7	-6.9	-1.7	-3.4	-5.3
Португалия	-6.2	-5.2	-7.4	-4.5	-1.9	-3.0	-0.4	0.1	-5.8	-2.8	-0.3	1.2
Румъния	-3.8	-2.3	-1.2	-0.5	-2.5	-2.5	-2.8	-4.3	-9.2	-7.1	-6.4	-6.5
Швеция	-1.2	-1.6	-1.8	-0.3	0.9	1.3	0.7	0.4	-3.2	-0.1	1.0	-0.6
Словения	-4.2	-11.2	-4.5	-2.8	-2.0	0.1	0.9	0.7	-7.7	-4.6	-3.0	-2.6
Словакия	-4.4	-2.9	-3.2	-2.8	-2.6	-1.0	-1.0	-1.2	-5.3	-5.1	-1.7	-5.2
