Брутен държавен дълг
Милиони евро
Държавно управление
Държавен консолидиран брутен дълг
Географска единица	Период от време
2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Австрия	141543.2	147502.5	151800.0	153106.9	158545.7	175203.9	181304.4	185730.0	202914.7	231172.7	245985.4	256875.9	262565.4	264761.0	281289.2	292873.7	296693.1	290372.8	285840.2	280975.3	316359.8	334713.3	351128.7	371728.7
Белгия	280959.5	286055.5	288110.8	285866.7	288418.8	294975.3	297494.9	300063.7	327683.2	347223.7	364132.1	389106.6	404752.3	414476.3	431464.2	438657.1	451818.0	454281.9	459668.6	467533.6	515529.7	548775.4	578335.9	614991.2
България	10177.1	10269.8	8890.3	8126.5	7526.2	6388.6	5721.0	5296.9	4848.6	5112.5	5857.0	6285.0	7005.7	7147.6	11619.3	11871.6	14188.1	13182.6	12427.2	12311.1	15131.7	17013.2	19353.1	21673.6
Кипър	6103.4	6745.6	7431.2	8280.9	9160.3	9697.7	9716.5	9593.3	8799.6	10615.5	11542.9	13727.8	16300.0	19393.7	19705.7	20025.0	20329.8	19597.2	21964.6	21597.5	25417.5	24776.0	23813.2	23075.9
Чехия	11567.8	18322.2	22013.9	24530.7	28673.0	31385.6	35405.0	39606.2	42298.6	49824.4	59059.8	62576.1	71778.7	67096.2	65581.0	67943.9	64939.8	68520.7	67431.3	68492.7	81916.6	103256.6	124300.6	130804.2
Германия	1261584.7	1274759.0	1330083.1	1419426.0	1489670.9	1561020.5	1610903.7	1619064.6	1687442.0	1804696.0	2119241.8	2155875.7	2234802.5	2220281.0	2224559.5	2197473.8	2182375.0	2132783.9	2086445.1	2075011.6	2346954.5	2502817.4	2569897.0	2631777.2
Дания	95147.9	92444.3	95608.1	93083.1	93791.7	83889.0	75019.9	68906.5	86323.2	100048.6	112184.5	124292.0	123585.7	123954.4	129562.8	121199.6	117852.8	118091.0	115789.3	118194.6	144701.5	139787.7	130333.2	126403.6
Еврозона - 19 държави (2015-2022)	4878507.9	5033466.0	5200940.5	5455392.9	5713480.0	5977961.6	6118758.9	6233309.4	6744251.8	7485355.0	8214320.8	8628073.6	9001385.5	9292686.0	9532840.3	9663904.0	9810185.3	9904002.0	10007229.7	10104604.2	11162486.8	11789098.4	12236503.6	12700900.0
Евро зона – 20 държави (от 2023)	4886948.9	5043127.3	5211338.0	5467015.2	5726690.7	5993086.3	6134293.7	6249797.7	6762811.1	7507451.9	8240111.1	8656592.3	9032132.5	9328071.9	9569580.4	9701435.5	9847758.1	9942365.0	10045891.4	10144017.2	11206265.1	11834839.6	12282836.4	12749160.2
Естония	315.6	344.4	442.9	489.7	504.5	537.0	640.1	641.0	776.6	1127.2	1177.9	1271.8	2016.1	2191.3	2354.9	2267.0	2272.0	2294.1	2249.1	2575.9	5319.9	5793.8	6965.0	7707.7
