Брутен държавен дълг
Процент от брутния вътрешен продукт (БВП)
Държавно управление
Държавен консолидиран брутен дълг
Географска единица	Период от време
2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Австрия	66.6	67.2	67.4	66.4	65.9	69.4	68.2	65.8	69.5	80.8	83.7	83.4	82.9	82.4	85.2	85.6	83.4	79.1	74.6	71.0	83.2	82.4	78.4	78.6
Белгия	109.6	108.2	105.4	101.7	97.2	95.1	91.5	87.3	93.2	99.9	100.2	102.7	104.3	105.0	106.5	105.6	105.4	102.5	100.0	97.5	111.2	108.4	102.6	103.1
България	70.7	64.5	51.0	43.4	35.7	26.6	20.9	16.3	13.0	13.7	15.3	15.2	16.6	17.0	27.0	25.9	29.1	25.1	22.1	20.1	24.4	23.8	22.5	22.9
Кипър	56.5	58.1	61.3	64.6	65.5	64.1	60.0	54.8	46.3	56.8	59.3	69.1	83.6	107.5	112.7	111.6	106.9	96.5	100.7	92.3	113.6	96.5	81.0	73.6
Чехия	16.9	22.6	25.7	28.1	28.3	27.7	27.6	27.3	28.2	33.4	36.7	39.4	43.8	44.1	41.5	39.5	36.2	33.8	31.7	29.6	36.9	40.7	42.5	42.4
Германия	59.2	58.1	59.8	63.3	65.0	67.1	66.4	63.7	65.2	72.3	81.0	78.5	79.8	77.4	74.5	71.2	68.3	64.0	60.8	58.7	68.0	68.1	65.0	62.9
Дания	53.6	50.1	50.3	48.2	46.2	39.4	33.2	29.5	35.5	43.0	46.1	50.0	48.7	47.8	48.7	44.6	41.7	40.2	38.5	38.3	46.3	40.5	34.1	33.6
Еврозона - 19 държави (2015-2022)	69.3	68.3	68.3	69.5	69.8	70.5	68.4	66.1	69.7	80.2	85.6	87.4	90.9	92.8	93.0	91.0	90.0	87.5	85.6	83.6	96.5	93.9	89.6	87.5
Евро зона – 20 държави (от 2023)	69.2	68.2	68.1	69.4	69.7	70.3	68.3	65.9	69.6	80.0	85.4	87.2	90.8	92.7	92.9	91.0	89.9	87.5	85.5	83.6	96.5	93.8	89.5	87.4
Естония	5.1	4.9	5.7	5.6	5.2	4.7	4.7	3.9	4.7	8.0	8.0	7.6	11.1	11.4	11.6	10.8	10.2	9.4	8.5	9.0	19.1	18.4	19.1	20.2
Гърция	108.9	110.5	107.9	104.3	105.5	109.9	105.3	104.6	110.9	128.5	147.8	175.1	164.1	180.4	182.7	179.6	183.1	182.1	189.0	183.2	209.4	197.3	177.0	163.9
Испания	57.8	54.1	51.2	47.7	45.3	42.4	39.0	35.7	39.6	53.1	60.3	69.5	89.6	100.0	104.4	102.5	102.0	101.2	99.8	97.7	119.3	115.7	109.5	105.1
Европейски съюз - 27 страни (от 2020)	66.6	65.8	65.6	66.8	67.1	67.2	65.0	62.4	65.1	75.7	80.4	81.7	85.0	86.7	86.9	85.0	84.0	81.5	79.5	77.4	89.5	86.7	82.5	80.8
Финландия	45.1	43.4	42.6	45.2	44.9	42.1	40.2	36.0	34.7	44.1	50.1	52.0	57.9	60.8	64.8	68.8	68.6	66.6	65.4	65.3	75.4	73.2	74.0	77.1
Франция	59.7	59.3	61.3	65.4	66.9	68.2	65.4	65.5	69.8	84.1	86.3	88.7	91.7	94.5	96.1	96.9	98.1	98.7	98.5	98.1	114.8	112.7	111.2	109.9
Хърватия	35.4	36.6	36.5	37.8	40.0	40.9	38.4	37.1	38.9	47.9	56.8	63.1	68.8	79.5	83.2	82.8	79.3	76.2	72.8	70.9	86.5	78.2	68.5	61.8
Унгария	55.6	52.2	55.6	58.2	58.9	60.6	64.5	65.6	71.8	78.2	80.2	80.5	78.4	77.2	76.5	75.7	74.6	72.0	68.8	65.0	78.7	76.2	73.8	73.4
Ирландия	36.4	33.6	30.9	29.8	28.1	26.1	23.7	23.9	42.5	61.8	86.1	109.4	118.7	117.5	101.3	74.0	72.6	65.2	61.5	55.9	57.0	52.6	43.1	43.3
Италия	108.7	108.5	105.9	105.1	104.7	106.2	106.3	103.5	105.8	116.1	118.7	119.1	125.9	131.8	134.8	134.7	134.2	133.7	134.1	133.8	154.3	145.7	138.3	134.8
Литва	23.5	22.9	22.1	20.4	18.6	17.6	17.3	15.9	14.6	27.9	36.7	37.4	39.9	38.9	40.7	42.4	39.8	39.1	33.3	35.6	45.9	43.3	38.1	37.3
Люксембург	7.5	7.6	7.4	7.4	7.8	8.0	8.2	8.1	14.6	15.3	19.1	18.5	20.8	22.4	21.9	21.1	19.6	21.8	20.9	22.3	24.5	24.4	24.6	25.5
Латвия	12.4	14.1	13.4	14.8	15.2	12.4	10.6	8.9	19.5	38.0	48.6	46.6	44.0	41.8	43.1	38.3	41.7	40.3	38.3	37.9	44.0	45.9	44.4	45.0
Малта	61.1	65.2	63.4	69.0	71.2	70.2	64.5	62.0	61.5	66.0	65.0	68.9	65.6	64.9	60.7	55.0	53.1	45.6	41.4	39.2	48.7	49.6	49.4	47.4
