DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1997-12,547.7,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-01,344.2,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-02,31.4,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-03,22.1,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-04,23.1,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-05,18.8,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-06,13.0,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-07,9.5,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-08,4.1,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-09,3.5,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-10,3.0,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-11,1.4,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1998-12,1.6,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-01,1.9,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-02,-0.1,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-03,-1.2,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-04,-2.2,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-05,-1.5,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-06,1.2,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-07,5.4,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-08,5.8,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-09,4.1,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-10,4.9,,
ESTAT:PRC_HICP_MANR(1.0),03/02/25 11:00:00,Monthly,Annual rate of change,All-items HICP,Bulgaria,1999-11,6.0,,
